SA21,SA22
"-1,09","0,52"
"-1,03","0,44"
"-0,77","0,4"
"-0,66","0,41"
"-0,61","0,4"
"-0,5","0,42"
"-0,42","0,42"
"-0,4","0,35"
"-0,36","-0,13"
"-0,17","-0,76"
"-0,08","-1,06"
"0,2","-1,07"
"0,63","-0,74"
"1,09","-0,5"
"1,37","-0,28"
"1,39","-0,24"
"1,32","-0,18"
"1,2","-0,1"
"1,24","-0,07"
"1,1","-0,07"
"0,96","-0,08"
"0,6",0
"0,05","0,1"
"-0,26",0
"-0,58","0,11"
"0,22","0,09"
"0,56","0,14"
"0,71","0,17"
"0,7","0,17"
"0,69","0,17"
"0,65","0,17"
"0,57","0,19"
"0,55","0,2"
"0,54","0,22"
"0,53","0,22"
"0,6","0,22"
"0,53","0,25"
"0,26","0,25"
"0,21","0,29"
"0,06","0,3"
0,"0,32"
0,"0,35"
0,"0,36"
"-0,01","0,36"
0,"0,37"
0,"0,41"
0,"0,42"
0,"0,45"
"-0,01","0,46"
0,"0,48"
0,"0,5"
0,"0,51"
"0,01","0,55"
"0,01","0,6"
0,"0,59"
"0,01","0,59"
"-0,01","0,62"
0,"0,61"
0,"0,66"
"0,01","0,6"
0,"0,57"
"0,02","0,63"
"0,01","0,54"
"0,01","0,66"
0,"-0,04"
0,"-0,04"
"0,01","-0,04"
0,"0,23"
"0,02","0,31"
"0,11","0,37"
"0,11","0,39"
"0,15","0,41"
"0,13","0,46"
"0,1","0,49"
"0,03","0,37"
"-0,01","0,61"
"-0,02","0,49"
"-0,02","0,48"
"-0,01","0,47"
"-0,01","0,48"
"-0,02","0,47"
"0,01","0,49"
"0,02","0,49"
"0,04","0,46"
"0,03","0,42"
0,"0,47"
0,"0,44"
"-0,01","0,39"
"-0,02","0,48"
"-0,01","0,47"
"-0,01","0,44"
0,"0,43"
0,"0,43"
"-0,02","0,42"
"-0,01","0,42"
0,"0,38"
"0,01","0,46"
"0,25","0,39"
"0,4","0,4"
"0,46","0,42"
"0,35","0,41"
"0,24","0,4"
"0,12","0,41"
"0,03","0,39"
"-0,01","0,4"
"-0,03","0,4"
"-0,04","0,39"
"-0,03","0,39"
"-0,03","0,38"
"-0,03","0,39"
"-0,03","0,4"
"-0,02","-0,07"
"-0,01","-0,08"
"-0,01","-0,08"
"-0,08","0,13"
"-0,1","0,17"
"-0,08","0,21"
"-0,05","0,24"
"-0,02","0,26"
"-0,01","0,28"
0,"0,3"
"-0,01","0,33"
0,"0,32"
"-0,01","0,33"
"-0,01","0,33"
"-0,01","0,32"
0,"0,31"
"0,01","0,3"
"-0,01","0,31"
0,"0,32"
0,"0,29"
"0,01","0,31"
"0,01","0,29"
0,"0,31"
"-0,01","0,31"
0,"0,3"
0,"0,31"
0,"0,3"
0,"0,28"
0,"0,31"
"-0,01","0,29"
"-0,01","0,3"
0,"0,29"
"-0,01","0,25"
"-0,02","0,28"
"-0,02","0,27"
"-0,01","0,27"
"-0,02","0,29"
"-0,01","0,3"
"-0,02","0,26"
"-0,02","0,28"
"-0,02","0,25"
"-0,01","0,26"
"-0,01","0,25"
"-0,02","0,26"
"-0,01","0,26"
"-0,02","0,25"
"-0,02","0,26"
"-0,03","0,24"
"-0,02","0,25"
"-0,03","0,27"
"-0,02","0,25"
"-0,02","0,25"
"-0,02","0,26"
"-0,01","0,23"
"-0,01","0,24"
"-0,02","0,24"
"-0,02","0,14"
0,"-1,17"
"-0,01","-1,17"
"-0,02","-1,18"
"-0,02","-1,2"
"-0,02","-1,22"
"-0,01","-1,24"
"-0,01","-1,24"
"-0,01","-1,32"
"-0,01","-1,28"
"-0,01","-1,36"
"-0,02","-1,41"
"-0,01","-1,33"
"-0,02","-1,45"
"-0,02","-1,42"
"-0,02","-1,33"
"-0,01","-1,22"
"-0,01","-1,24"
"-0,01","-1,26"
"-0,02","-1,24"
"-0,02","-1,22"
"-0,02","-1,15"
"-0,02","-1,14"
"-0,01","-1,04"
"-0,02","-1,12"
"-0,01","-1,06"
"-0,01","-1,09"
"-0,01","-1,03"
"-0,02",-1
"-0,02","-0,95"
"-0,02","-0,94"
"-0,01","-0,98"
"-0,01","-0,89"
"-0,01","-1,02"
"-0,01","-0,99"
"-0,01","-0,91"
0,"-0,92"
0,"-0,89"
"-0,01","-0,83"
"-0,01","-0,5"
0,"-0,05"
"-0,01","-0,12"
"-0,33","-0,1"
"-0,66","-0,18"
"-0,92","-0,08"
"-1,08","-0,17"
"-1,29","-0,18"
"-1,27","-0,16"
"-1,24","-0,18"
"-1,24","-0,17"
"-1,2","-0,15"
"-1,11","-0,1"
"-1,02","-0,09"
"-0,99","-0,09"
"-1,02","-0,1"
"-0,97","-0,08"
"-0,93","-0,02"
"-0,98","-0,01"
"-0,94","0,01"
"-0,9","-0,01"
"-0,81","0,02"
"-0,76","0,02"
"-0,79","0,04"
"-0,88","0,01"
"-0,93","-0,01"
"-1,05",0
"-1,12","-0,01"
"-1,19","-0,04"
"-1,2","-0,05"
"-1,14","0,01"
"-1,22","0,08"
"-1,09","0,09"
"-0,95","0,16"
"-0,78","0,19"
"-0,69","0,22"
"-0,65","0,24"
"-0,82","0,21"
"-0,95","0,3"
"-1,06","0,29"
"-1,16","0,32"
"-1,17","0,33"
"-1,16","0,34"
"-1,17","0,34"
"-1,17","0,29"
"-1,22","0,29"
"-1,22","0,32"
"-1,21","0,31"
"-1,29","0,3"
"-1,3","0,3"
"-1,3","0,28"
"-1,18","0,3"
"-1,13","0,29"
"-1,12","0,29"
